c;fannkuch-redux;134199814.27776685;4.848663299999998
c;fasta;2167.1366002396153;1.848698000000013
c;mandelbrot;0.0;0.07370650000007117
c;n-body;18191.650394506385;2.9504022999999506
c;reverse-complement;4766.637927627284;1.961243399999944
erlang;fannkuch-redux;1970712514.9377763;78.59908280000036
erlang;fasta;0.0;0.0
erlang;mandelbrot;3322293103.015714;142.95938709999973
erlang;n-body;457246840.15081507;195.04511640000055
erlang;reverse-complement;3101047136.9641833;1793.4675511000005
go;fannkuch-redux;12091230.163182572;12.969950699999998
go;fasta;20812.889161880707;1.8785649000000006
go;mandelbrot;561867.4431158464;2.005964199999994
go;n-body;300308.56251441117;5.011181599999986
go;reverse-complement;0.0;0.9713132999999914
java;fannkuch-redux;296974984.44680524;9.110663899999963
java;fasta;1149.4959249232152;1.978556000000026
java;mandelbrot;42302.96223846939;2.0017083000000184
java;n-body;10532182.109678183;4.984301100000039
java;reverse-complement;0.0;1.0512519999999768